,content
0,It's fake
1,It doesn't even work. What a waste of time.😑😒
2,Does not work.
3,"I havent the foggiest idea where im supposed to start. I open the app and all I see is ""not found"". Nothing i tried changed it so........."
4,The app doesn't work.
5,"Useless, and don't work either."
6,Atleast add a tutorial.
7,Scam.. it doesn't work
8,Doesn't work
9,It doesn't work! It's fake!
10,Not working
11,Doesn't work...
12,Doesn't work at all
13,stupid app do not download
14,Doesn't do anything
15,Useless app
16,It doesn't work for me
17,Awesome
18,"I can't even use the app, it always crashing"
19,It's working now
