,content
0,"So far, so good 👍"
1,"Awesome, I wish it was offline though"
2,Very good 👍
3,Good
4,It's a very good app
5,I paid for this app as I thought it would be great to use but the reminders do not work. I would like something that adds to my schedule and sends reminders. Unfortunately there will be no refund so be careful before you pay for this.
6,Easy to use app
7,THIS LIST IS GENERALY NICE!
8,Its really good I love it. Ilike how its so easy and really fast
9,So beautiful
10,The bed app
11,Happy
12,Good to use
13,nice
14,Good👍
15,"Just downloaded the app. I like the format, but I need more time to use it before I can give my true feedback"
16,It is an awesome app it helps you to set reminders and your task along with your sub task it helps me to manage my time
17,Backup doesn't work. What other way can you backup the data bedside Google Drive? I don't see any other options.
18,"It's a great and to the point app that is easy to navigate. It's customizable to a point and easy to overview. However I would like the tasks of different categories to be of various colors, so that you differentiate them better from another when looking at the tasks of all categories. It would also be helpful to get to flag them according to priority."
19,Good
20,Love it
21,Productive 💥🌸
22,Good
23,Tt
24,This is very good app it helps me alot to accomplish my goals 😃👍
25,"Honestly, I love the app. It's great works amazingly with my schedule and seems perfectly tailored to fit my life. However, many times I've found that my tasks were deleted. Usually, I just rewrite them but unfortunately it deleted all my tasks. I deleted it after that which is sad cause it's an amazing app but this issue was one I don't want to experience again. Honestly feels like I just broke off a friendship🥲."
26,Amazing app
27,Well done.
28,Great take out subscription and I will stay on it
29,3rd July
30,I love it.
31,I like the app so far.
32,"I wanted to text this out to see if it works with for us, but evening is behind a pay for it wall. I'm not signing up for a free trial or paying 40 for an app I can't test."
33,It's a good app but when I go to go in the app it will say buy this and then I will hire the x but it will ask me to be vip
34,ใช้งานง่าย สะดวก
35,"One thing I didn't like the pay to some things pay , while I love other all things ❤️"
36,Very easy to use. You can list tasks eith either no date or a date.
37,"WOW!!!! THIS APP IS REALLY HELPING ME DO MY TASKS RIGHT ON TIME!!!!!! I REALLY RECOMMEND YOU TO USE THIS APP!!! REALLY!!!!! well, that notification stays on your notification bar, JUST DON'T MIND IT!!!"
38,It is not free you need to pay later
39,"Got the premium, and it says I am unable to sync to my Gmail. States that I will only have a plan for 1 day before my reminders are removed. Please fix. Besides this I would have given app 5 stars"
40,Like
41,"I loved this app.. I can add my daily personal and work tasks, and also my wishlist in separate categories. I can fix the dead line (date + time).Moreover it is very convenient to use.."
42,I like it but its bombarding me with the vip thing.
43,Good app which is helpful to remember and to complete the tasks in the time . Ads are also small and we can close the fast compared to other apps
44,Amazing
45,Cool
46,"Just installed, quite good experience but yah they ask for premium for more good experience which is not applicable."
47,Really good Can organize everything
48,This app is soo good but i couldn't give more because it doesn't remind me the time which I set for things to do
49,Very smooth
50,Good 👍
51,Easy to Use this Application and very useful information 🙂
52,Good
53,It helps me organize.i was in a bad motorcycle accident and I have tbi to my brain.its a awesome app.....
54,Best app in whole playstore
55,Just started using but love it.
56,It's the best
57,Thanks it really helps
58,It's really good apps for me❤️
59,Very helpful
60,It's helps me too rends me on my new day eme hahaha
61,Very good
62,Really good app. Love it as a student
63,great app
64,"Why don't any of these to do apps have an ""eventually"" category? I want something on my list, bottom priority, so I don't forget but which cannot be prioritized right now. I don't want to schedule it. Why is this so universally omitted? Please consider."
65,Good app
66,"I put four stars because i have to pay if i want more fonctionnality (not a lot just a little bit), but it's a good app for taking notes and to have more disciplin in your life, try guys..!!!"
67,Bla bla vla yo yoi
68,The wishlist is a nice touch
69,PLEASE HELP ME TODOLIST how can I sync my same list for multiple devices? It's so helpful on my phone I'd like to have it on my iPad & Chromebook as well please 🥺 ❤️
70,"Amazing 👏,Its really awesome More features Could be added but BEST FOR THE LEARNERS💯💯"
71,"Good, helps me plan out stuff."
72,i love it
73,🩶🩶
74,Excellent
75,Good
76,This is a basic and easy application. This app should be priceless. I won't even spend one cent for this app.
77,So useful
78,waste app because it's not for free we want to pay for but it's too Costly I think using this is waste u can use other app instead of this . Dispointed!!!!
79,Excellent UI and useful
80,Very nice application
81,جميل
82,Waste of time
83,Love this app!
84,I love it
85,Good
86,I'm very satisfied from this great app
87,"love it sm ! because I'm a forgetful person , so it really helping me by remind me what I have to do . my life get much easier with this app !"
88,Good appe
89,good
90,Good App for me
91,Easy to use and its very cute :)
92,Its absolutely amazing it helps me organize myself so well I love it
93,Nice
94,Awesome app for scheduling
95,"This app is very helpful and convenient for people with ADHD. It's easy to set up tasks and reminders, and you can also set up reminders to drink water or take your pills. But it would be even better if there was an option to set up deadlines and reminders for subtasks. And also, I understand that the creators have to get some revenue from the app, but I think that standard theme colors (like red, yellow, etc.) and at least one good-looking widget theme should be available for everyone."
96,Is ok
97,"It's a free to do list, but the rest isn't."
98,Greate
99,"I've only been on here for a minute, but I feel organized"
100,Realy nice app it reminds u of different house hold chores and more. Keep on going
